"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cereal production (metric tons)","AG.PRD.CREL.MT","","22945358","23568117","24189927","22746329","22996908","23645383","32170667","25521609","27910622","28161845","32792275","34466343","27365422","36203464","34726798","36382308","37586018","37447796","34329215","38397322","45003485","36230066","31916865","30257205","39232395","40580615","37583567","44710433","45376965","39427561.05","41154125.58","31279380.93","42572912.43","46504911.37","37887224.77","50949284.99","46947631.61","44826949.85","44284132.91","47707836.95","48722512.82","48761883.9","50938549.57","52313689.03","57823753.34","56677745.53","58744052.14","63105388.98","67221286.01","75250098.11","75265862.87","76993849.95","80430719.53","90908480.87","80958057.09","83981022","95401249.04","97221042.42","92193844.75","104188431.31","105763927.83","105498008.98","106034241.77","68642976.53","",
"Afghanistan","AFG","Cereal production (metric tons)","AG.PRD.CREL.MT","","3695000","3696000","3378000","3732000","3785000","3489000","3826000","3916000","4038000","3512000","3319000","3950000","4270000","4351000","4481000","4624000","4147000","4382000","4214000","4072000","3893000","3724000","3591000","3418000","3242000","3084000","3394000","2997000","2834000","2705000","2721302.33","2470000","2981774.06","3144000","3242179.28","3241914.75","3682722.57","3875506.12","3256395.77","1940000","2108000","3737000","4381000","3560000","5425000","4638000","5786000","3950000","6514000","5957000","4681020","6582000","6772235","7012523.28","6010288","5708330.42","5059633.97","4304555.5","5771861","6241828","4970923","4802495","5402975","6215646.07","",
"Africa Western and Central","AFW","Cereal production (metric tons)","AG.PRD.CREL.MT","","15199359","16249447","16419357","16367923","16309479","14568709","16434157","15575299","18038051","17726002","17320573","13757553","16209840","19923163","18090195","16633672","16510190","16377644","16577215","17755270","18865515","19099220","18897609","20745222","24933077","27936922","28220526","31657192","32505418","30908317","34505155.32","35084082.99","36484506.16","36658204.09","39470756.12","38779521.54","38127324.96","40960474.21","42074481.81","39013857.99","40218012.33","42272024.86","46336463.9","45462912.21","51385454.56","55355066.79","52360762.67","61053338.17","52229550.82","60518478.73","51718917.55","60026806.25","58476124.59","64659189.5","66767715.15","70577009.09","70883085.45","76247113.92","77387263.4","78182912.53","76294734.77","81876336.6","80866552.97","55435974.44","",
"Angola","AGO","Cereal production (metric tons)","AG.PRD.CREL.MT","","544000","543000","515000","564000","562000","502000","515000","526148","648090","575915","522928","513417","548578","513764","558000","563000","430000","475000","361000","435000","316000","315000","337000","321000","308000","341400","364400","334400","272400","248500","372060","401800","322000","285000","296000","519375.76","448888.12","609612","541183","519635","601120","733819","736542.08","742341.31","914886","723305","780963","754711","1056844","1181944","1412826","510531.7","1674800.86","1825128.76","2021290.68","2372602.15","2483183.07","2871952.31","2918493.21","3077110","3059537","3179113","3335449","","",
"Albania","ALB","Cereal production (metric tons)","AG.PRD.CREL.MT","","293932","313508","293449","350144","335293","433094","487464","502090","528519","538749","547485","585830","625498","646200","666500","857000","910400","932800","963800","880600","904200","970400","1067000","1039400","994900","1046000","1025800","997630","1033350","897000","446152","428918.16","665720","646026","645400","503714","602043","605746","497500","565800","502500","518800","488500","498800","511200","507500","493600","608500","630900","693800","701200","697400","702870","700370","695000","698430","701734","678196","666065","684023","691126.7","690850","701314.38","","",
"Andorra","AND","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal production (metric tons)","AG.PRD.CREL.MT","","14787753","21386977","21114354","19500269","20103932","16155821","20958955","24069845","22002233","21442559","22248849","26299491","19794838","23851158","24456532","27796801","20110915","24831772","21851834","26591773","25194986","25118562","23914245","21578202","32109145","33284038","28324916","37757734","32330064","36730398.33","45387445.43","42140299.33","39510082.53","46336512.91","37046278.21","52178398.54","38776478.12","46516092.18","39105615.98","35754893.52","43885566.67","46321670.93","55876427.91","52439428.16","52652117.89","58159843.91","50080840.29","46099234.66","57157966.12","48184810.11","55175301.29","52361550.72","60526514.25","57898476.51","55319594.61","50104784.65","53287491.88","51812615.16","57752257.36","55590313.99","54406019.8","47718902.31","50491621.55","20704635.82","",
"United Arab Emirates","ARE","Cereal production (metric tons)","AG.PRD.CREL.MT","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","242","785","906","757","1780","1276","1536","1300","1175","874","544","1201","6428.28","6013.62","6779.49","4492.44","4952","4972","4701","4498","4308.68","4046.85","4037.21","3642.89","3133.91","2372.56","2210.4","2156.96","2216.51","1860","2378","3401","5336","4590.17","3779","772","2580","3695","5988","17143","8169.54","26072.05","26405","23474.84","21429","22013.6","","",
"Argentina","ARG","Cereal production (metric tons)","AG.PRD.CREL.MT","","14512100","13961600","17331100","20821300","13843800","17317600","19575100","16296600","18477000","19922000","21975800","18834100","23861300","23608900","23040800","24891700","22506800","27700200","25071000","18652400","30014200","34328400","31687000","31849300","28074800","26130800","22947900","22336300","18133270","19142700","21685460","25497920","25230481","25359301","24320069","30461049","35392020","37775052","34638378","38464615","35800425","31930891","34637080","35407991","38401634","34088722","43758359","36846872","26662032","46628492","49349166","40712638","51796533","55535814.58","53364962.03","68228186.97","76520391.56","71533692","83934093.63","83569977.83","92198347.34","81989897.27","65403921.54","85727345.71","",
