Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Area harvested","Avocados","2012","1900"
"Crops and livestock products","Ghana","Yield","Avocados","2012","4605.3"
"Crops and livestock products","Ghana","Production","Avocados","2012","8750"
"Crops and livestock products","Ghana","Area harvested","Avocados","2013","1885"
"Crops and livestock products","Ghana","Yield","Avocados","2013","4618.3"
"Crops and livestock products","Ghana","Production","Avocados","2013","8703.52"
"Crops and livestock products","Ghana","Area harvested","Avocados","2014","1900"
"Crops and livestock products","Ghana","Yield","Avocados","2014","4578.9"
"Crops and livestock products","Ghana","Production","Avocados","2014","8700"
"Crops and livestock products","Ghana","Area harvested","Avocados","2015","1932"
"Crops and livestock products","Ghana","Yield","Avocados","2015","4555.2"
"Crops and livestock products","Ghana","Production","Avocados","2015","8801.59"
"Crops and livestock products","Ghana","Area harvested","Avocados","2016","1974"
"Crops and livestock products","Ghana","Yield","Avocados","2016","4534.4"
"Crops and livestock products","Ghana","Production","Avocados","2016","8949.59"
"Crops and livestock products","Ghana","Area harvested","Avocados","2017","2011"
"Crops and livestock products","Ghana","Yield","Avocados","2017","4519.7"
"Crops and livestock products","Ghana","Production","Avocados","2017","9090.98"
"Crops and livestock products","Ghana","Area harvested","Avocados","2018","2047"
"Crops and livestock products","Ghana","Yield","Avocados","2018","4501.1"
"Crops and livestock products","Ghana","Production","Avocados","2018","9212.29"
"Crops and livestock products","Ghana","Area harvested","Avocados","2019","2080"
"Crops and livestock products","Ghana","Yield","Avocados","2019","4479.5"
"Crops and livestock products","Ghana","Production","Avocados","2019","9316.76"
"Crops and livestock products","Ghana","Area harvested","Avocados","2020","2108"
"Crops and livestock products","Ghana","Yield","Avocados","2020","4463.2"
"Crops and livestock products","Ghana","Production","Avocados","2020","9407.24"
"Crops and livestock products","Ghana","Area harvested","Avocados","2021","2078"
"Crops and livestock products","Ghana","Yield","Avocados","2021","4575.9"
"Crops and livestock products","Ghana","Production","Avocados","2021","9509.21"
"Crops and livestock products","Ghana","Area harvested","Avocados","2022","2089"
"Crops and livestock products","Ghana","Yield","Avocados","2022","4506"
"Crops and livestock products","Ghana","Production","Avocados","2022","9411.07"
"Crops and livestock products","Ghana","Area harvested","Avocados","2023","2091"
"Crops and livestock products","Ghana","Yield","Avocados","2023","4514.8"
"Crops and livestock products","Ghana","Production","Avocados","2023","9442.5"
"Crops and livestock products","Ghana","Area harvested","Avocados","2024","2086"
"Crops and livestock products","Ghana","Yield","Avocados","2024","4532.2"
"Crops and livestock products","Ghana","Production","Avocados","2024","9454.26"
"Crops and livestock products","Ghana","Area harvested","Bananas","2012","7600"
"Crops and livestock products","Ghana","Yield","Bananas","2012","10526.3"
"Crops and livestock products","Ghana","Production","Bananas","2012","80000"
