Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2012","2012","ha","1900","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2012","2012","kg/ha","4605.3","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2012","2012","t","8750","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2013","2013","ha","1885","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2013","2013","kg/ha","4618.3","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2013","2013","t","8703.52","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2014","2014","ha","1900","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2014","2014","kg/ha","4578.9","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2014","2014","t","8700","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2015","2015","ha","1932","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2015","2015","kg/ha","4555.2","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2015","2015","t","8801.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2016","2016","ha","1974","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2016","2016","kg/ha","4534.4","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2016","2016","t","8949.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2017","2017","ha","2011","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2017","2017","kg/ha","4519.7","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2017","2017","t","9090.98","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2018","2018","ha","2047","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2018","2018","kg/ha","4501.1","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2018","2018","t","9212.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2019","2019","ha","2080","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2019","2019","kg/ha","4479.5","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2019","2019","t","9316.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2020","2020","ha","2108","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2020","2020","kg/ha","4463.2","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2020","2020","t","9407.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2021","2021","ha","2078","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2021","2021","kg/ha","4575.9","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2021","2021","t","9509.21","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2022","2022","ha","2089","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2022","2022","kg/ha","4506","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2022","2022","t","9411.07","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5312","Area harvested","01311","Avocados","2023","2023","ha","2091","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5412","Yield","01311","Avocados","2023","2023","kg/ha","4514.8","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01311","Avocados","2023","2023","t","9442.5","E","Estimated value",""
