Crop,Region,District,Year,Area_Planted_ha,Yield_kg_per_ha,Production_tonnes
Avocados,Ghana (National),,2012,1900.0,4605.3,8750.07
Avocados,Ghana (National),,2013,1885.0,4618.3,8705.4955
Avocados,Ghana (National),,2014,1900.0,4578.9,8699.91
Avocados,Ghana (National),,2015,1932.0,4555.2,8800.6464
Avocados,Ghana (National),,2016,1974.0,4534.4,8950.9056
Avocados,Ghana (National),,2017,2011.0,4519.7,9089.1167
Avocados,Ghana (National),,2018,2047.0,4501.1,9213.7517
Avocados,Ghana (National),,2019,2080.0,4479.5,9317.36
Avocados,Ghana (National),,2020,2108.0,4463.2,9408.4256
Avocados,Ghana (National),,2021,2078.0,4575.9,9508.7202
Avocados,Ghana (National),,2022,2089.0,4506.0,9413.034
Avocados,Ghana (National),,2023,2091.0,4514.8,9440.446800000002
Avocados,Ghana (National),,2024,2086.0,4532.2,9454.169199999998
Bananas,Ghana (National),,2012,7600.0,10526.3,79999.88
Bananas,Ghana (National),,2013,7800.0,10800.0,84240.0
Bananas,Ghana (National),,2014,7955.0,11000.0,87505.0
Bananas,Ghana (National),,2015,7955.0,11000.0,87505.0
Bananas,Ghana (National),,2016,7955.0,11000.0,87505.0
Bananas,Ghana (National),,2017,8305.0,11220.5,93186.2525
Bananas,Ghana (National),,2018,8706.0,11380.4,99077.7624
Bananas,Ghana (National),,2019,9190.0,11534.9,106005.731
Bananas,Ghana (National),,2020,9678.0,11627.2,112528.0416
Bananas,Ghana (National),,2021,9908.0,11890.8,117814.0464
Bananas,Ghana (National),,2022,10409.0,11876.5,123622.4885
Bananas,Ghana (National),,2023,10848.0,11984.1,130003.5168
Bananas,Ghana (National),,2024,11170.0,12091.6,135063.172
"Beans, dry",Ghana (National),,2012,168800.0,1322.3,223204.24
"Beans, dry",Ghana (National),,2013,162000.0,1237.0,200394.0
"Beans, dry",Ghana (National),,2014,165720.0,1213.8,201150.936
"Beans, dry",Ghana (National),,2015,165720.0,1213.8,201150.936
"Beans, dry",Ghana (National),,2016,112910.0,1268.4,143215.044
"Beans, dry",Ghana (National),,2017,129132.0,1320.3,170492.9796
"Beans, dry",Ghana (National),,2018,129783.0,1361.3,176673.5979
"Beans, dry",Ghana (National),,2019,123942.0,1318.8,163454.7096
"Beans, dry",Ghana (National),,2020,127619.0,1327.9,169465.27010000002
"Beans, dry",Ghana (National),,2021,127114.0,1372.8,174502.0992
"Beans, dry",Ghana (National),,2022,126225.0,1335.9,168623.9775
"Beans, dry",Ghana (National),,2023,126986.0,1318.1,167380.24659999998
"Beans, dry",Ghana (National),,2024,126775.0,1310.4,166125.96
"Cashew nuts, in shell",Ghana (National),,2012,75000.0,533.3,39997.5
"Cashew nuts, in shell",Ghana (National),,2013,79000.0,531.6,41996.4
"Cashew nuts, in shell",Ghana (National),,2014,85000.0,588.2,49997.00000000001
"Cashew nuts, in shell",Ghana (National),,2015,85000.0,588.2,49997.00000000001
"Cashew nuts, in shell",Ghana (National),,2016,142275.0,550.1,78265.4775
"Cashew nuts, in shell",Ghana (National),,2017,167329.0,537.9,90006.26909999999
"Cashew nuts, in shell",Ghana (National),,2018,192458.0,532.7,102522.3766
"Cashew nuts, in shell",Ghana (National),,2019,161400.0,532.6,85961.64
"Cashew nuts, in shell",Ghana (National),,2020,240230.0,533.0,128042.59
"Cashew nuts, in shell",Ghana (National),,2021,296259.0,533.6,158083.80240000002
"Cashew nuts, in shell",Ghana (National),,2022,374511.0,534.0,199988.874
"Cashew nuts, in shell",Ghana (National),,2023,374129.0,534.6,200009.3634
"Cashew nuts, in shell",Ghana (National),,2024,408433.0,535.2,218593.3416
Cassava,ASHANTI,,2011,121540.513605,15636.3,1900443.79606
Cassava,BRONG AHAFO,,2011,184903.0,15593.87,2883352.5700000003
Cassava,CENTRAL ,,2011,122274.86,16168.05,1976946.196
Cassava,EASTERN ,,2011,186165.0,20724.35,3858148.75
Cassava,GREATER ACCRA,,2011,6741.5,10659.79,71863.0
Cassava,NORTHERN,,2011,89320.0,14928.42,1333406.4
Cassava,VOLTA,,2011,105169.0,15784.18,1660006.6391999996
Cassava,WESTERN,,2011,73250.0,7600.0,556700.0
Cassava,Western, Amenfi East,2011,5300.0,8100.0,42930.0
Cassava,Western,Amenfi  West (Wassa Amenfi),2011,3500.0,9400.0,32900.0
Cassava,Western,Aowin -Suaman,2011,11300.0,7950.0,89835.0
Cassava,Western,Bia,2011,3650.0,8000.0,29200.0
Cassava,Western,Bibiani-Anhwiaso-Bekwai,2011,7300.0,10010.0,73073.0
Cassava,Western,East Nzema,2011,5850.0,9400.0,54990.0
Cassava,Western,Jomoro,2011,4700.0,9700.0,45590.0
Cassava,Western,Juabeso,2011,5800.0,,
Cassava,Western,Mporhor Wassa East,2011,5750.0,10600.0,60950.0
Cassava,Western,Sefwi-Wiaso,2011,9700.0,10600.0,102820.0
Cassava,Western,Shama Ahanta East,2011,2400.0,7600.0,18240.0
